iter	Passed	Remaining
0	0	76
1	1	66
2	1	61
3	2	56
4	2	55
5	3	55
6	4	58
7	5	60
8	5	60
9	6	59
10	7	58
11	7	57
12	8	56
13	8	55
14	9	54
15	10	53
16	11	53
17	11	54
18	12	54
19	13	53
20	14	53
21	15	53
22	15	52
23	16	52
24	17	53
25	18	53
26	19	53
27	20	53
28	21	52
29	21	51
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	30	43
41	30	42
42	31	41
43	31	40
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	38	35
52	38	34
53	39	33
54	40	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	69	1
98	70	0
99	71	0
